Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_ATR(H,L,C,3)","Exit_ATR(H,L,C,3)"
2,965,966,555.35,556.98,493.7067400978127,,3.259999999999991,0.0029350859818133568,2008-06-19,2008-06-20,1 days,,564.0589155802228,560.5331324641783,564.3202023093555,562.6938202812323,12.71651199130556,13.70767466087039
-1,967,1006,545.36,509.84,614.9683733043519,,35.52000000000004,0.0651312894235001,2008-06-23,2008-08-18,56 days,,557.4685059713427,497.79213516794186,561.1043820738475,497.34668471563316,12.848449773913591,11.313882268637514
-2,970,1006,544.1,509.84,619.5383733043519,,68.5200000000001,0.06296636647675069,2008-06-26,2008-08-18,53 days,,548.7622750573274,497.79213516794186,555.9215642928982,497.34668471563316,17.215096229307736,11.313882268637514
-4,978,1006,550.76,509.84,623.0683733043519,,163.68000000000006,0.07429733459219989,2008-07-09,2008-08-18,40 days,,541.678724321682,497.79213516794186,546.5025190098833,497.34668471563316,14.756319865066724,11.313882268637514
2,1006,1008,509.84,494.72,441.61162669564806,,-30.239999999999895,-0.029656362780480006,2008-08-18,2008-08-20,2 days,,497.79213516794186,494.0669665074828,497.34668471563316,495.65841712035797,11.313882268637514,12.328392119394456
4,1007,1008,490.43,494.72,429.76162669564803,,17.160000000000082,0.008747425728442337,2008-08-19,2008-08-20,1 days,,496.3337081343535,494.0669665074828,496.7242588323938,495.65841712035797,11.432588179091681,12.328392119394456
-1,1009,1090,482.92,314.52,546.6419605969722,,168.40000000000003,0.34871200198790697,2008-08-21,2008-12-16,117 days,,492.5595732059862,305.90003867345786,494.82856101850723,302.38577938087036,11.762261412929638,17.529741300812425
-2,1010,1090,491.5,314.52,548.1719605969722,,353.96000000000004,0.3600813835198373,2008-08-22,2008-12-16,116 days,,492.165658564789,305.90003867345786,494.44323728955203,302.38577938087036,10.6248409419531,17.529741300812425
-4,1011,1090,486.11,314.52,552.2319605969723,,686.3600000000001,0.3529859496821708,2008-08-25,2008-12-16,113 days,,490.3345268518312,305.90003867345786,493.40385208141095,302.38577938087036,12.249893961302066,17.529741300812425
2,1090,1099,314.52,300.8,249.02803940302772,,-27.43999999999994,-0.04362202721607522,2008-12-16,2008-12-30,14 days,,305.90003867345786,302.4733940367437,302.38577938087036,302.6715445635306,17.529741300812425,9.553820939186908
4,1091,1099,318.64,300.8,263.6380394030277,,-71.3599999999999,-0.055987948782324826,2008-12-17,2008-12-30,13 days,,307.7680309387663,302.4733940367437,303.55434489170034,302.6715445635306,15.97316086720827,9.553820939186908
8,1092,1099,316.7,300.8,253.5980394030277,,-127.19999999999982,-0.050205241553520574,2008-12-18,2008-12-30,12 days,,308.270424751013,302.4733940367437,304.16576808336396,302.6715445635306,14.395440578138851,9.553820939186908
16,1093,1099,310.99,300.8,248.63803940302768,,-163.03999999999996,-0.03276632689153991,2008-12-19,2008-12-30,11 days,,308.6503398008104,302.4733940367437,304.7116073485127,302.6715445635306,12.526960385425909,9.553820939186908
-1,1100,1101,304.2,308.6,350.87910469593453,,-4.400000000000034,-0.014464168310322378,2008-12-31,2009-01-02,2 days,,303.50871522939497,307.07097218351595,303.12413142139144,304.77830129217404,9.1658806261246,11.550587084083064
